algo,count,rounds,wall_total_s,wall_avg_us,cpu_total_s,cpu_avg_us,file
mpi1,2,10,0.000629,62.919,0.000619,61.9,logs/mpi1 - 2t_3442142.out
mpi1,2,10,0.000655,65.517,0.000611,61.1,logs/mpi1 - 2t_3442150.out
mpi1,2,10,0.000653,65.255,0.000654,65.4,logs/mpi1 - 2t_3442158.out
mpi1,4,10,0.001739,173.926,0.001682,168.2,logs/mpi1 - 4t_3442143.out
mpi1,4,10,0.001722,172.162,0.001672,167.2,logs/mpi1 - 4t_3442151.out
mpi1,4,10,0.001698,169.754,0.001686,168.6,logs/mpi1 - 4t_3442159.out
mpi1,6,10,0.002594,259.352,0.002544,254.4,logs/mpi1 - 6t_3442144.out
mpi1,6,10,0.00256,255.966,0.002498,249.8,logs/mpi1 - 6t_3442152.out
mpi1,6,10,0.002542,254.226,0.00249,249.0,logs/mpi1 - 6t_3442160.out
mpi1,8,10,0.002737,273.705,0.002671,267.1,logs/mpi1 - 8t_3442145.out
mpi1,8,10,0.002658,265.789,0.002598,259.8,logs/mpi1 - 8t_3442153.out
mpi1,8,10,0.002602,260.186,0.002543,254.3,logs/mpi1 - 8t_3442161.out
mpi2,2,10,3.6e-05,3.624,4.5e-05,4.5,logs/mpi2 - 2t_3442146.out
mpi2,2,10,4.5e-05,4.53,5.2e-05,5.2,logs/mpi2 - 2t_3442154.out
mpi2,2,10,4e-05,3.958,4.7e-05,4.7,logs/mpi2 - 2t_3442162.out
mpi2,4,10,0.000108,10.824,6.7e-05,6.7,logs/mpi2 - 4t_3442147.out
mpi2,4,10,7.2e-05,7.176,7.7e-05,7.7,logs/mpi2 - 4t_3442155.out
mpi2,4,10,7.8e-05,7.82,8.3e-05,8.3,logs/mpi2 - 4t_3442163.out
mpi2,6,10,0.00013,13.041,0.000137,13.7,logs/mpi2 - 6t_3442148.out
mpi2,6,10,0.00011,11.015,0.000116,11.6,logs/mpi2 - 6t_3442156.out
mpi2,6,10,7.4e-05,7.415,8.1e-05,8.1,logs/mpi2 - 6t_3442164.out
mpi2,8,10,0.000129,12.875,0.000134,13.4,logs/mpi2 - 8t_3442149.out
mpi2,8,10,0.000143,14.257,0.000145,14.5,logs/mpi2 - 8t_3442157.out
mpi2,8,10,0.000125,12.469,0.000131,13.1,logs/mpi2 - 8t_3442165.out
